student,date,effortScore,class,acPercentile
Braydon Wessels,01/08/2021,72,Music,0.26
Braydon Wessels,02/08/2021,14,Music,0.27
Braydon Wessels,03/08/2021,21,Music,0.28
Braydon Wessels,04/08/2021,28,Music,0.29
Braydon Wessels,05/08/2021,36,Music,0.29
Braydon Wessels,06/08/2021,43,Music,0.3
Braydon Wessels,07/08/2021,50,Music,0.31
Braydon Wessels,08/08/2021,57,Music,0.32
Braydon Wessels,09/08/2021,65,Music,0.33
Braydon Wessels,10/08/2021,72,Music,0.34
Braydon Wessels,11/08/2021,79,Music,0.35
Braydon Wessels,12/08/2021,86,Music,0.36
Lindsay McNeil,01/08/2021,72,Music,0.26
Lindsay McNeil,02/08/2021,14,Music,0.27
Lindsay McNeil,03/08/2021,21,Music,0.28
Lindsay McNeil,04/08/2021,28,Music,0.29
Lindsay McNeil,05/08/2021,36,Music,0.3
Lindsay McNeil,06/08/2021,43,Music,0.31
Lindsay McNeil,07/08/2021,50,Music,0.32
Lindsay McNeil,08/08/2021,57,Music,0.33
Lindsay McNeil,09/08/2021,65,Music,0.34
Lindsay McNeil,10/08/2021,72,Music,0.35
Lindsay McNeil,11/08/2021,79,Music,0.35
Lindsay McNeil,12/08/2021,86,Music,0.36
Trae Hare-Boyd,01/08/2021,72,Music,0.27
Trae Hare-Boyd,02/08/2021,14,Music,0.28
Trae Hare-Boyd,03/08/2021,21,Music,0.29
Trae Hare-Boyd,04/08/2021,28,Music,0.3
Trae Hare-Boyd,05/08/2021,36,Music,0.31
Trae Hare-Boyd,06/08/2021,43,Music,0.32
Trae Hare-Boyd,07/08/2021,50,Music,0.32
Trae Hare-Boyd,08/08/2021,57,Music,0.33
Trae Hare-Boyd,09/08/2021,65,Music,0.34
Trae Hare-Boyd,10/08/2021,72,Music,0.35
Trae Hare-Boyd,11/08/2021,79,Music,0.36
Trae Hare-Boyd,12/08/2021,86,Music,0.37
Asha Boswarva,01/08/2021,72,Music,0.28
Asha Boswarva,02/08/2021,14,Music,0.29
Asha Boswarva,03/08/2021,21,Music,0.29
Asha Boswarva,04/08/2021,28,Music,0.3
Asha Boswarva,05/08/2021,36,Music,0.31
Asha Boswarva,06/08/2021,43,Music,0.32
